"","caseid","V1","V2","V3","V4","V5","V6","V7"
"197","20160111150530","47","01","Full time","01","525","0","135"
"198","20160111150575","34","01","Full time","01","750","0","210"
"199","20160111150613","29","02","Part time","01","595","0","120"
"200","20160111150624","69","02","Part time","01","440","0","60"
"201","20160111150625","80","01","Full time","01","627","0","465"
"202","20160111150651","31","01","Full time","01","405","0","249"
"203","20160111150654","34","02","Full time","01","364","0","95"
"204","20160111150662","61","02","No answer","02","547","0","242"
"205","20160111150706","17","02","No answer","01","627","120","160"
"206","20160111150714","35","01","Full time","01","300","0","0"
"207","20160111150736","44","02","Full time","01","600","0","348"
"208","20160111150738","34","01","Full time","01","600","0","381"
"209","20160111150766","42","01","Full time","01","435","0","180"
"210","20160111150769","47","02","Full time","01","85","0","60"
"211","20160111150770","48","01","Full time","01","570","0","350"
"212","20160111150781","49","02","Full time","01","375","0","105"
"213","20160111150783","68","02","No answer","01","590","0","250"
"214","20160111150790","50","02","Full time","01","660","0","625"
"215","20160111150804","28","02","No answer","01","590","0","650"
"216","20160111150822","36","02","Full time","01","502","0","154"
"217","20160111150835","75","02","Part time","01","630","0","610"
"218","20160111150839","59","01","No answer","01","320","0","554"
"219","20160111150844","28","01","Full time","01","400","0","180"
"220","20160111150852","65","02","No answer","01","585","0","350"
"221","20160111150855","67","01","Part time","01","570","0","155"
"222","20160111150887","49","02","Part time","01","1317","0","30"
"223","20160111150891","28","01","Full time","01","630","0","150"
"224","20160111150909","28","01","Full time","01","460","0","206"
"225","20160111150930","24","01","Full time","01","600","0","420"
"226","20160111150980","47","02","No answer","01","370","0","120"
"227","20160111150985","47","02","Full time","01","540","0","704"
"228","20160111150987","28","02","Full time","01","565","0","120"
"229","20160111150991","35","02","Full time","01","705","0","435"
"230","20160111151039","36","02","Full time","01","550","0","360"
"231","20160111151072","36","02","Full time","01","510","0","110"
"232","20160111151098","41","02","No answer","01","600","0","115"
"233","20160111151103","40","02","Full time","01","476","0","90"
"234","20160111151107","21","01","No answer","01","1050","0","345"
"235","20160111151118","52","02","Full time","01","535","0","390"
"236","20160111151131","44","02","Full time","01","510","0","435"
"237","20160111151135","46","02","Full time","01","590","0","270"
"238","20160111151139","28","02","Full time","01","430","0","150"
